time (s),getData(":pwr" ?result "tran") (W)
10.29E-9,3.521E-3
10.29E-9,3.542E-3
10.30E-9,3.510E-3
10.30E-9,3.441E-3
10.30E-9,3.360E-3
10.31E-9,3.252E-3
10.31E-9,3.125E-3
10.32E-9,2.961E-3
10.32E-9,2.737E-3
10.33E-9,2.473E-3
10.33E-9,2.260E-3
10.34E-9,2.035E-3
10.34E-9,1.862E-3
10.35E-9,1.671E-3
10.36E-9,1.468E-3
10.36E-9,1.290E-3
10.37E-9,1.158E-3
10.38E-9,1.041E-3
10.38E-9,965.7E-6
10.39E-9,900.8E-6
10.40E-9,842.1E-6
10.40E-9,790.2E-6
10.41E-9,775.5E-6
10.41E-9,777.7E-6
10.42E-9,776.5E-6
10.42E-9,764.3E-6
10.43E-9,738.6E-6
10.43E-9,723.5E-6
10.43E-9,718.0E-6
10.44E-9,715.2E-6
10.44E-9,714.1E-6
10.44E-9,713.4E-6
10.45E-9,712.8E-6
10.45E-9,715.8E-6
10.46E-9,726.1E-6
10.46E-9,747.8E-6
10.47E-9,782.9E-6
10.47E-9,820.7E-6
10.48E-9,852.1E-6
10.48E-9,870.5E-6
10.49E-9,885.5E-6
10.50E-9,945.1E-6
10.50E-9,1.050E-3
10.51E-9,1.181E-3
10.52E-9,1.311E-3
10.52E-9,1.395E-3
10.53E-9,1.474E-3
10.53E-9,1.530E-3
10.54E-9,1.599E-3
10.54E-9,1.661E-3
10.54E-9,1.720E-3
10.55E-9,1.811E-3
10.55E-9,1.895E-3
10.55E-9,1.994E-3
10.55E-9,2.095E-3
10.56E-9,2.196E-3
10.56E-9,2.298E-3
10.57E-9,2.380E-3
10.57E-9,2.440E-3
10.58E-9,2.467E-3
10.58E-9,2.447E-3
10.59E-9,2.376E-3
10.59E-9,2.276E-3
10.60E-9,2.116E-3
10.60E-9,1.976E-3
10.61E-9,1.918E-3
10.62E-9,1.932E-3
10.62E-9,1.978E-3
10.63E-9,2.012E-3
10.63E-9,2.010E-3
10.64E-9,1.958E-3
10.64E-9,1.867E-3
10.65E-9,1.799E-3
10.65E-9,1.766E-3
10.65E-9,1.753E-3
10.66E-9,1.758E-3
10.66E-9,1.771E-3
10.67E-9,1.774E-3
10.67E-9,1.741E-3
10.67E-9,1.670E-3
10.68E-9,1.568E-3
10.69E-9,1.418E-3
10.69E-9,1.269E-3
10.70E-9,1.118E-3
10.70E-9,953.1E-6
10.71E-9,758.2E-6
10.72E-9,587.2E-6
10.73E-9,482.8E-6
10.74E-9,392.0E-6
10.75E-9,343.5E-6
10.76E-9,289.4E-6
10.77E-9,270.7E-6
10.77E-9,259.4E-6
10.78E-9,247.6E-6
10.79E-9,239.0E-6
10.79E-9,237.9E-6
10.80E-9,236.5E-6
10.81E-9,232.7E-6
10.81E-9,227.7E-6
10.82E-9,223.1E-6
10.83E-9,227.6E-6
10.83E-9,235.9E-6
10.84E-9,241.5E-6
10.85E-9,242.6E-6
10.86E-9,241.0E-6
10.87E-9,242.2E-6
10.88E-9,263.2E-6
10.89E-9,306.2E-6
10.90E-9,338.0E-6
10.91E-9,346.4E-6
10.92E-9,419.1E-6
10.92E-9,540.8E-6
10.93E-9,619.5E-6
10.94E-9,638.7E-6
10.94E-9,622.9E-6
10.95E-9,579.6E-6
10.95E-9,534.6E-6
10.96E-9,483.7E-6
10.97E-9,424.9E-6
10.98E-9,350.2E-6
10.99E-9,270.6E-6
11.01E-9,216.9E-6
11.03E-9,192.3E-6
11.05E-9,184.8E-6
11.07E-9,182.3E-6
11.09E-9,181.5E-6
11.11E-9,181.2E-6
11.14E-9,181.2E-6
11.18E-9,181.1E-6
11.23E-9,181.1E-6
11.30E-9,181.0E-6
11.40E-9,181.0E-6
11.60E-9,180.9E-6
11.80E-9,180.8E-6
12.00E-9,180.8E-6
12.40E-9,180.7E-6
13.14E-9,180.6E-6
13.57E-9,180.6E-6
14.00E-9,180.6E-6
14.00E-9,196.0E-6
14.01E-9,221.7E-6
14.01E-9,236.2E-6
14.02E-9,343.6E-6
14.02E-9,558.5E-6
14.03E-9,830.4E-6
14.03E-9,1.056E-3
14.03E-9,1.277E-3
14.03E-9,1.358E-3
14.04E-9,1.446E-3
14.04E-9,1.507E-3
14.04E-9,1.559E-3
14.04E-9,1.587E-3
14.04E-9,1.599E-3
14.05E-9,1.585E-3
14.05E-9,1.553E-3
14.05E-9,1.512E-3
14.05E-9,1.459E-3
14.05E-9,1.398E-3
14.05E-9,1.346E-3
14.05E-9,1.277E-3
14.06E-9,1.217E-3
14.06E-9,1.166E-3
14.06E-9,1.126E-3
14.06E-9,1.094E-3
14.06E-9,1.061E-3
14.06E-9,1.021E-3
14.07E-9,983.2E-6
14.07E-9,947.2E-6
14.07E-9,912.4E-6
14.07E-9,876.6E-6
14.08E-9,855.8E-6
14.08E-9,840.8E-6
14.08E-9,831.7E-6
14.09E-9,829.2E-6
14.09E-9,833.7E-6
14.10E-9,840.3E-6
14.10E-9,847.3E-6
14.11E-9,851.7E-6
14.11E-9,855.9E-6
14.12E-9,861.5E-6
14.12E-9,861.4E-6
14.12E-9,857.2E-6
14.13E-9,854.6E-6
14.13E-9,853.7E-6
14.13E-9,854.1E-6
14.13E-9,855.7E-6
14.14E-9,859.6E-6
14.14E-9,866.4E-6
14.15E-9,876.6E-6
14.16E-9,896.0E-6
14.16E-9,932.4E-6
14.17E-9,975.4E-6
14.17E-9,1.015E-3
14.17E-9,1.058E-3
14.18E-9,1.088E-3
14.18E-9,1.112E-3
14.18E-9,1.120E-3
14.18E-9,1.124E-3
14.19E-9,1.123E-3
14.19E-9,1.118E-3
14.19E-9,1.115E-3
14.19E-9,1.123E-3
14.20E-9,1.154E-3
14.20E-9,1.189E-3
14.20E-9,1.238E-3
14.21E-9,1.289E-3
14.21E-9,1.332E-3
14.21E-9,1.375E-3
14.22E-9,1.409E-3
14.22E-9,1.434E-3
14.22E-9,1.454E-3
14.23E-9,1.477E-3
14.23E-9,1.499E-3
14.23E-9,1.525E-3
14.24E-9,1.563E-3
14.24E-9,1.630E-3
14.25E-9,1.693E-3
14.25E-9,1.778E-3
